# t x y z velocityx velocityy velocityz
1.585339999999999918e+03 0.000000000000000000e+00 0.000000000000000000e+00 -2.496060888797419636e-02 -8.843450140982667129e-02 -1.533826264855687365e-03 -2.257067245780038367e-01
1.585380000000000109e+03 0.000000000000000000e+00 0.000000000000000000e+00 -3.154384742773681805e-02 -1.345230495850117391e-01 -4.267839447644644385e-04 -2.286933980108935005e-01
1.585410000000000082e+03 0.000000000000000000e+00 0.000000000000000000e+00 -4.127707604593700008e-02 -1.796443659634383849e-01 -1.178394191716891203e-04 -1.764022486587092098e-01
1.585450000000000045e+03 0.000000000000000000e+00 0.000000000000000000e+00 -4.845855843574824184e-02 -1.619213044464465068e-01 6.125303408265291277e-04 -1.572248244918497406e-01
1.585480000000000018e+03 0.000000000000000000e+00 0.000000000000000000e+00 -5.241017999564664270e-02 -1.809596267855839991e-01 5.475710038226604560e-04 -1.317891401166104703e-01
1.585490000000000009e+03 0.000000000000000000e+00 0.000000000000000000e+00 -5.368218474111887545e-02 -1.865811033755584714e-01 5.645965391703742543e-04 -1.175309150119415585e-01
1.585509999999999991e+03 0.000000000000000000e+00 0.000000000000000000e+00 -5.457249109474991006e-02 -1.909303952059754339e-01 4.196062318415938767e-04 -9.541428999966482249e-02
1.585529999999999973e+03 0.000000000000000000e+00 0.000000000000000000e+00 -5.477238881284725996e-02 -2.014150792299045367e-01 1.049323382460321669e-03 -9.067624086905282099e-02
1.585539999999999964e+03 0.000000000000000000e+00 0.000000000000000000e+00 -5.466295219911693204e-02 -2.218380110258546256e-01 2.963436677274630324e-03 -6.786837715557982043e-02
1.585559999999999945e+03 0.000000000000000000e+00 0.000000000000000000e+00 -5.456126067447100714e-02 -2.102962459903360282e-01 3.052235972668158187e-03 -2.861821517975268736e-02
1.585599999999999909e+03 0.000000000000000000e+00 0.000000000000000000e+00 -5.651732554301719391e-02 -1.809260333322005310e-01 6.014540241938468035e-03 2.983674770624890338e-02
1.585630000000000109e+03 0.000000000000000000e+00 0.000000000000000000e+00 -5.723212743490915799e-02 -1.727505366749201299e-01 1.863909311852176426e-03 4.511292405717301501e-02
1.585670000000000073e+03 0.000000000000000000e+00 0.000000000000000000e+00 -5.529022184953139019e-02 -1.509567428017631885e-01 -3.297874674644627607e-05 7.373642498176993798e-02
