ZONE T = " 0.00000E+00", I=  129, J=  256
 8.04525487E-02 -8.51456140E-02  4.74743570E-18  6.11303606E-17 -1.56535598E+01 -1.56535598E+01
 8.11229866E-02 -8.51456140E-02  1.01072203E-18  3.77452133E-17 -1.56535598E+01 -1.56535598E+01
 8.17934245E-02 -8.51456140E-02  3.64421009E-18  7.03663294E-17 -1.56535598E+01 -1.56535598E+01
 8.24638624E-02 -8.51456140E-02  7.51273156E-18  4.83277934E-17 -1.56535598E+01 -1.56535598E+01
 8.31343003E-02 -8.51456140E-02  6.31701266E-18  5.40321156E-17 -1.56535598E+01 -1.56535598E+01
 8.38047382E-02 -8.51456140E-02  1.26340253E-18  8.71241686E-17 -1.56535598E+01 -1.56535598E+01
 8.44751761E-02 -8.51456140E-02  3.04267622E-18  5.73987923E-17 -1.56535598E+01 -1.56535598E+01
 8.51456140E-02 -8.51456140E-02  5.65010789E-18  4.83277934E-17 -1.56535598E+01 -1.56535598E+01
 8.58160519E-02 -8.51456140E-02  1.91432416E-18  1.14072914E-17 -1.56535598E+01 -1.56535598E+01
 0.00000000E+00 -8.44751761E-02  9.75335176E-19  1.47784284E-17 -1.56535598E+01 -1.56535598E+01
 6.70437905E-04 -8.44751761E-02  2.17365757E-18  4.96959135E-18 -1.56535598E+01 -1.56535598E+01
 1.34087581E-03 -8.44751761E-02  2.00600759E-18  3.76646955E-17 -1.56535598E+01 -1.56535598E+01
 2.01131372E-03 -8.44751761E-02  1.25273694E-18  1.01909509E-16 -1.56535598E+01 -1.56535598E+01
 2.68175162E-03 -8.44751761E-02  4.64314648E-18  2.10355012E-17 -1.56535598E+01 -1.56535598E+01
 3.35218953E-03 -8.44751761E-02  3.41298050E-18  1.07146251E-17 -1.56535598E+01 -1.56535598E+01
 4.02262743E-03 -8.44751761E-02  2.35083159E-18  4.06716901E-17 -1.56535598E+01 -1.56535598E+01
 4.69306534E-03 -8.44751761E-02  4.01132995E-18  4.58248460E-17 -1.56535598E+01 -1.56535598E+01
 5.36350324E-03 -8.44751761E-02  1.23181851E-18  3.37845660E-17 -1.56535598E+01 -1.56535598E+01
 6.03394115E-03 -8.44751761E-02  4.02810027E-18  4.79307745E-17 -1.56535598E+01 -1.56535598E+01
 6.70437905E-03 -8.44751761E-02  2.71130967E-18  4.32375632E-17 -1.56535598E+01 -1.56535598E+01
 7.37481696E-03 -8.44751761E-02  1.29614263E-18  6.96390968E-17 -1.56535598E+01 -1.56535598E+01
 8.04525487E-03 -8.44751761E-02  1.72420890E-18  4.83277934E-17 -1.56535598E+01 -1.56535598E+01
 8.71569277E-03 -8.44751761E-02  1.15964937E-18  8.91120480E-17 -1.56535598E+01 -1.56535598E+01
 9.38613068E-03 -8.44751761E-02  2.52680506E-18  5.79933521E-17 -1.56535598E+01 -1.56535598E+01
 1.00565686E-02 -8.44751761E-02  3.23588935E-18  1.22260721E-16 -1.56535598E+01 -1.56535598E+01
 1.07270065E-02 -8.44751761E-02  7.58041519E-19  7.79262254E-17 -1.56535598E+01 -1.56535598E+01
 1.13974444E-02 -8.44751761E-02  0.00000000E+00  3.86622347E-17 -1.56535598E+01 -1.56535598E+01
 1.20678823E-02 -8.44751761E-02  4.52008631E-18  7.73244695E-17 -1.56535598E+01 -1.56535598E+01
 1.27383202E-02 -8.44751761E-02  4.52008631E-18  8.64513850E-17 -1.56535598E+01 -1.56535598E+01
 1.34087581E-02 -8.44751761E-02  6.52214350E-18  5.79933521E-17 -1.56535598E+01 -1.56535598E+01
 1.40791960E-02 -8.44751761E-02  8.33462734E-18  3.86622347E-17 -1.56535598E+01 -1.56535598E+01
 1.47496339E-02 -8.44751761E-02  1.01072203E-18  1.55852451E-16 -1.56535598E+01 -1.56535598E+01
 1.54200718E-02 -8.44751761E-02  7.28842018E-18  2.31973408E-16 -1.56535598E+01 -1.56345618E+01
 1.60905097E-02 -8.44751761E-02  1.31393863E-17  1.09353313E-16 -1.56535598E+01 -1.56535598E+01
 1.67609476E-02 -8.44751761E-02  5.05361013E-19  3.86622347E-17 -1.56535598E+01 -1.56535598E+01
 1.74313855E-02 -8.44751761E-02  1.51608304E-18  1.55852451E-16 -1.56535598E+01 -1.56535598E+01
 1.81018234E-02 -8.44751761E-02  5.71750719E-18  1.09353313E-16 -1.56535598E+01 -1.56535598E+01
 1.87722614E-02 -8.44751761E-02  6.56969317E-18  1.15986704E-16 -1.56535598E+01 -1.56535598E+01
 1.94426993E-02 -8.44751761E-02  4.04288810E-18  1.54648939E-16 -1.56535598E+01 -1.56535598E+01
 2.01131372E-02 -8.44751761E-02  4.52008631E-18  1.39398670E-16 -1.56535598E+01 -1.56535598E+01
 2.07835751E-02 -8.44751761E-02  1.21286643E-17  7.73244695E-17 -1.56535598E+01 -1.56535598E+01
